LEI,LegalName,LegalForm,Jurisdiction,Status,RegisteredAddress_FirstLine,RegisteredAddress_City,RegisteredAddress_Country,HeadquartersAddress_City,HeadquartersAddress_Country,BusinessRegisterEntityID,RegistrationDate
54930084UKLVMY22DS16,Apple Inc.,CORPORATION,US,ACTIVE,One Apple Park Way,Cupertino,US,Cupertino,US,0000320193,2012-06-06
784F5XWPLTWKTBV3E584,The Goldman Sachs Group Inc.,CORPORATION,US,ACTIVE,200 West Street,New York,US,New York,US,0000886982,2012-06-06
INR2EJN1ERAN0W5ZP974,Microsoft Corporation,CORPORATION,US,ACTIVE,One Microsoft Way,Redmond,US,Redmond,US,0000789019,2012-06-06
8I5DZWZKVSZI1NUHU748,JPMorgan Chase & Co.,CORPORATION,US,ACTIVE,383 Madison Avenue,New York,US,New York,US,0000019617,2012-06-06
5493006MHB84DD0ZWV18,Alphabet Inc.,CORPORATION,US,ACTIVE,1600 Amphitheatre Parkway,Mountain View,US,Mountain View,US,0001652044,2015-08-10
213800WSGIIZCXF1P572,Amazon.com Inc.,CORPORATION,US,ACTIVE,410 Terry Avenue North,Seattle,US,Seattle,US,0001018724,2012-06-06
529900T8BM49AURSDO55,Berkshire Hathaway Inc.,CORPORATION,US,ACTIVE,3555 Farnam Street,Omaha,US,Omaha,US,0001067983,2012-06-06
UWJKFUJFZ02DKWI3RY53,NVIDIA Corporation,CORPORATION,US,ACTIVE,2788 San Tomas Expressway,Santa Clara,US,Santa Clara,US,0001045810,2012-06-06
LKAB57XYRLB5DAHPAR64,Meta Platforms Inc.,CORPORATION,US,ACTIVE,1 Hacker Way,Menlo Park,US,Menlo Park,US,0001326801,2021-06-07
9598000CSM0SLGM97W19,Tesla Inc.,CORPORATION,US,ACTIVE,1 Tesla Road,Austin,US,Austin,US,0001318605,2012-06-06
